,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
1344,Francesco Bardi,,31,1.88,Italy,Livorno,0.5,9,Goalkeeper,1,right,Bologna,6/30/2023,7/17/2021,,,SerieA
1378,Luca Caldirola,,32,1.86,Italy,Desio,1,4,Defender - Centre-Back,5,left,Monza,6/30/2024,7/17/2021,Reset Group Srl,,Other
710,Sebastiaan Bornauw,,24,1.91,Belgium,Wemmel,8.5,14,Defender - Centre-Back,3,right,VfL Wolfsburg,6/30/2026,7/16/2021,CAA Stellar,adidas,Bundesliga
725,Lukas Nmecha,Lukas Okechukwu Nmecha,24,1.85,Germany  England,Hamburg,14,18,Attack - Centre-Forward,10,right,VfL Wolfsburg,6/30/2025,7/16/2021,,,Bundesliga
1231,Felipe Anderson,,30,1.75,Brazil,Brasília,15,45,Attack - Right Winger,7,right,Lazio,6/30/2024,7/16/2021,Conquest,adidas,SerieA
2200,Melvin Bard,Melvin Michel Maxence Bard,22,1.73,France,Écully,8,9,Defender - Left-Back,26,left,OGC Nice,6/30/2025,7/16/2021,E CASTAGNINO,,Ligue1
2578,Elbasan Rashani,,30,1.81,Kosovo  Norway,Hillerstorp,2,2.5,Attack - Left Winger,18,left,Clermont Foot,6/30/2025,7/16/2021,no agent,,Other
227,Ryan Bertrand,Ryan Dominic Bertrand,33,1.79,England  Egypt,London,1,20,Defender - Left-Back,5,left,Leicester,6/30/2023,7/15/2021,FA Sport,,EPL
266,José Sá,José Pedro Malheiro de Sá,30,1.92,Portugal,Braga,18,18,Goalkeeper,1,right,Wolves,6/30/2026,7/15/2021,Gestifute,,EPL
1481,Thórir Jóhann Helgason,Þórir Jóhann Helgason,22,1.87,Iceland,Hafnarfjörður,0.9,0.9,midfield - Central Midfield,14,right,Lecce,6/30/2025,7/15/2021,CAA Stellar,,Other
2468,Renaud Ripart,,30,1.81,France,Nîmes,3,5,Attack - Right Winger,20,right,Troyes,6/30/2025,7/15/2021,E CASTAGNINO,,Ligue1
1953,Iván Balliu,Iván Balliu Campeny,31,1.72,Albania  Spain,Caldes de Malavella,4,4,Defender - Right-Back,20,right,Rayo Vallecano,6/30/2025,7/14/2021,Fabián Bustos,,LaLiga
2094,Gianluigi Donnarumma,,24,1.96,Italy,Castellammare di Stabia,50,65,Goalkeeper,99,right,Paris SG,6/30/2026,7/14/2021,Team Raiola,adidas,Ligue1
1184,Rui Patrício,Rui Pedro dos Santos Patrício,35,1.9,Portugal,Leiria,5,20,Goalkeeper,1,left,AS Roma,6/30/2024,7/13/2021,Gestifute,Puma,SerieA
1951,Fran García,Francisco José García Torres,23,1.69,Spain,Bolaños de Calatrava,10,10,Defender - Left-Back,3,left,Rayo Vallecano,6/30/2025,7/13/2021,Media Base Sports,Nike,LaLiga
628,Mitchel Bakker,,22,1.85,Netherlands,Purmerend,9,14,Defender - Left-Back,5,left,B. Leverkusen,6/30/2025,7/12/2021,Team Raiola,,Bundesliga
1492,Petar Zovko,,21,1.92,Bosnia-Herzegovina,Mostar,0.1,0.1,Goalkeeper,40,left,Spezia Calcio,6/30/2024,7/12/2021,PRO TRANSFER,,Other
1661,Rodrigo de Paul,Rodrigo Javier de Paul,28,1.8,Argentina  Italy,Sarandí,40,40,midfield - Central Midfield,5,right,Atlético Madrid,6/30/2026,7/12/2021,Augustin Jimenez,adidas,LaLiga
2126,Ismail Jakobs,,23,1.84,Senegal  Germany,Köln,7,7,Defender - Left-Back,14,left,Monaco,6/30/2026,7/12/2021,Dirk Hebel,,Ligue1
668,Jesper Lindström,Jesper Grænge Lindstrøm,23,1.82,Denmark,Taastrup,28,28,midfield - Attacking Midfield,29,right,E. Frankfurt,6/30/2026,7/11/2021,NSG ApS,adidas,Bundesliga
622,Andrey Lunev,Лунёв Андрей Евгеньевич,31,1.9,Russia,Moskau,1.5,10.5,Goalkeeper,40,right,B. Leverkusen,6/30/2023,7/10/2021,,Nike,Bundesliga
1858,Carles Aleñá,Carles Aleñá Castillo,25,1.8,Spain,Mataró,10,30,midfield - Central Midfield,11,left,Getafe,6/30/2026,7/10/2021,"Puyol, De la Peña ...",adidas,LaLiga
273,Rayan Aït-Nouri,Rayan Aït-Nouri,21,1.8,Algeria  France,Montreuil,22,22,Defender - Left-Back,3,left,Wolves,6/30/2026,7/9/2021,Gestifute,,EPL
884,Silvan Widmer,,30,1.83,Switzerland,Aarau,5,9,Defender - Right-Back,30,right,1.FSV Mainz 05,6/30/2026,7/9/2021,CAA Base Ltd,,Bundesliga
1163,Giorgio Scalvini,,19,1.94,Italy,Chiari,30,30,Defender - Centre-Back,42,right,Atalanta BC,6/30/2027,7/9/2021,TMP SOCCER srl,,SerieA
2007,Arnau Puigmal,Arnau Puigmal Martínez,22,1.74,Spain,Barcelona,2,2,midfield - Central Midfield,18,right,UD Almería,6/30/2026,7/9/2021,REVOLUTION Football ...,Puma,LaLiga
2071,Enzo Roco,Enzo Pablo Roco Roco,30,1.92,Chile,Ovalle,1.8,3,Defender - Centre-Back,3,right,Elche CF,6/30/2023,7/9/2021,Fernando Felicevich,Nike,LaLiga
478,Michael Olise,Michael Akpovie Olise,21,1.84,France  England,London,27,27,Attack - Right Winger,7,left,Crystal Palace,6/30/2026,7/8/2021,,Nike,EPL
826,Niklas Dorsch,Niklas Bernd Dorsch,25,1.78,Germany,Lichtenfels,8,10,midfield - Defensive Midfield,30,right,FC Augsburg,6/30/2026,7/8/2021,CN Sports,,Bundesliga
892,Jae-sung Lee,이재성,30,1.8,"Korea, South",Ulsan,4,4,midfield - Attacking Midfield,7,left,1.FSV Mainz 05,6/30/2024,7/8/2021,Unique Sports Group,,Bundesliga
1089,Sandro Tonali,,23,1.81,Italy,Lodi,50,50,midfield - Defensive Midfield,8,right,AC Milan,6/30/2027,7/8/2021,Gr Sports,Nike,SerieA
2050,Santiago Arzamendia,Santiago Arzamendia Duarte,25,1.72,Paraguay  Argentina,"Wanda, Misiones",1.5,5,Defender - Left-Back,21,left,Cádiz CF,6/30/2025,7/8/2021,,,LaLiga
2100,Sergio Ramos,Sergio Ramos García,37,1.84,Spain,Camas,6,50,Defender - Centre-Back,4,right,Paris SG,6/30/2023,7/8/2021,RR-Soccer ...,Mizuno,Ligue1
1977,Jaume Costa,Jaume Vincent Costa Jordá,35,1.71,Spain,Valencia,1.2,9,Defender - Left-Back,18,left,RCD Mallorca,6/30/2023,7/7/2021,Toldra Consulting ...,,LaLiga
1999,Sergio Akieme,Sergio Akieme Rodríguez,25,1.75,Spain  Equatorial Guinea,Madrid,9,9,Defender - Left-Back,15,left,UD Almería,6/30/2026,7/7/2021,Promoesport,,LaLiga
2073,Pedro Bigas,Pedro Bigas Rigo,33,1.81,Spain,Palma de Mallorca,1,5,Defender - Centre-Back,6,left,Elche CF,6/30/2023,7/7/2021,,,LaLiga
2274,Deiver Machado,Deiver Andrés Machado Mena,29,1.8,Colombia,Tadó,3,3,Defender - Left-Back,3,left,Lens,6/30/2026,7/7/2021,,,Ligue1
440,Junior Firpo,Héctor Junior Firpo Adamés,26,1.84,Dominican Republic  Spain,Santo Domingo de Guzmán,12,25,Defender - Left-Back,3,left,Leeds,6/30/2025,7/6/2021,Sports&Life,Nike,Other
1851,Stefan Mitrović,Стефан Митровић,32,1.89,Serbia,Belgrad,2,3.5,Defender - Centre-Back,23,both,Getafe,6/30/2024,7/6/2021,,Nike,LaLiga
1969,Dominik Greif,,26,1.97,Slovakia,Bratislava,1.5,2,Goalkeeper,13,right,RCD Mallorca,6/30/2026,7/6/2021,Stars & Friends,Nike,LaLiga
2103,Achraf Hakimi,,24,1.81,Morocco  Spain,Madrid,70,70,Defender - Right-Back,2,right,Paris SG,6/30/2026,7/6/2021,Footfeel ISM,adidas,Ligue1
538,Dayot Upamecano,Dayotchanculle Oswald Upamecano,24,1.86,France  Guinea-Bissau,Évreux,60,60,Defender - Centre-Back,2,right,Bayern Munich,6/30/2026,7/5/2021,Unique Sports Group,Nike,Bundesliga
674,Rafael Borré,Rafael Santos Borré Maury,27,1.74,Colombia,Barranquilla,12,20,Attack - Centre-Forward,19,right,E. Frankfurt,6/30/2025,7/5/2021,Wasserman,,Bundesliga
1836,Franco Cervi,Franco Emanuel Cervi,28,1.66,Argentina  Italy,San Lorenzo,3,18,Attack - Left Winger,11,left,Celta de Vigo,6/30/2024,7/5/2021,Wasserman,,LaLiga
2473,Grégoire Coudert,,24,1.88,France,Rodez,0.2,0.2,Goalkeeper,30,left,Stade Brestois,6/30/2023,7/5/2021,,,Ligue1
1741,Juan Cruz,Juan Cruz Díaz Espósito,23,1.8,Spain  Argentina,Quilmes,2,2,Attack - Right Winger,10,left,Betis Deportivo,6/30/2025,7/4/2021,Promoesport,,Other
1798,Marko Dmitrović,Марко Дмитровић,31,1.89,Serbia,Subotica,4,12,Goalkeeper,1,left,Sevilla FC,6/30/2025,7/4/2021,IDUB GLOBAL,,LaLiga
2177,Leonardo Balerdi,Leonardo Julián Balerdi Rosa,24,1.87,Argentina  Italy,Villa Mercedes,10,15,Defender - Centre-Back,5,right,Marseille,6/30/2026,7/3/2021,SP,,Ligue1
111,Tom Heaton,Thomas David Heaton,37,1.88,England,Chester,0.6,6,Goalkeeper,22,right,Man Utd,6/30/2023,7/2/2021,10Ten Football,,EPL
232,Boubakary Soumaré,,24,1.88,France  Senegal,Noisy-le-Sec,20,28,midfield - Defensive Midfield,42,right,Leicester,6/30/2026,7/2/2021,Sport Avenir ...,adidas,EPL
302,Romain Perraud,Romain Paul Jean-Michel Perraud,25,1.73,France,Toulouse,12,12,Defender - Left-Back,15,left,Southampton,6/30/2025,7/2/2021,Unique Sports Group,Nike,EPL
341,Jeremy Sarmiento,Jeremy Leonel Sarmiento Morante,20,1.78,Ecuador  England,Madrid,5,5,midfield - Attacking Midfield,19,right,Brighton,6/30/2026,7/2/2021,Relatives,adidas,EPL
450,Jack Harrison,Jack David Harrison,26,1.75,England,Stoke-on-Trent,22,28,Attack - Left Winger,11,left,Leeds,6/30/2028,7/2/2021,Remington Ellis ...,,Other
618,André Silva,André Miguel Valente Silva,27,1.85,Portugal,Baguim do Monte,20,45,Attack - Centre-Forward,19,right,RB Leipzig,6/30/2026,7/2/2021,Gestifute,Nike,Bundesliga
815,Daniel Klein,,22,1.93,Germany,Heidelberg,0.3,0.3,Goalkeeper,25,right,FC Augsburg,6/30/2025,7/2/2021,Sport Business ...,,Bundesliga
1160,Juan Musso,Juan Agustín Musso,29,1.91,Argentina  Italy,San Nicolás,14,20,Goalkeeper,1,right,Atalanta BC,6/30/2025,7/2/2021,World Soccer Agency,,SerieA
1350,Kevin Bonifazi,,26,1.87,Italy,Rieti,3.3,7,Defender - Centre-Back,14,right,Bologna,6/30/2025,7/2/2021,MM-Management,,SerieA
1991,Ángel Rodríguez,Ángel Luis Rodríguez Díaz,36,1.71,Spain,Santa Cruz de Tenerife,1,7.5,Attack - Centre-Forward,22,right,RCD Mallorca,6/30/2023,7/2/2021,Emartsoccer,,LaLiga
18,Cole Palmer,Cole Jermaine Palmer,21,1.82,England,Manchester,15,15,midfield - Attacking Midfield,80,left,Man City,6/30/2026,7/1/2021,CAA Base Ltd,Nike,EPL
31,Trevoh Chalobah,Trevoh Thomas Chalobah,23,1.92,England  Sierra Leone,Freetown,22,22,Defender - Centre-Back,14,right,Chelsea,6/30/2028,7/1/2021,CAA Base Ltd,Nike,EPL
83,Ibrahima Konaté,,23,1.94,France  Mali,Paris,35,45,Defender - Centre-Back,5,right,Liverpool,6/30/2026,7/1/2021,CAA Stellar,Nike,EPL
101,Harvey Elliott,Harvey Scott Elliott,20,1.7,England,London,35,35,midfield - Attacking Midfield,19,left,Liverpool,6/30/2027,7/1/2021,ROOF,New Balance,EPL
235,Kiernan Dewsbury-Hall,Kiernan Frank Dewsbury-Hall,24,1.78,England,Shepshed,25,25,midfield - Central Midfield,22,left,Leicester,6/30/2027,7/1/2021,Wasserman,,EPL
240,Patson Daka,,24,1.83,Zambia,Chingola,20,22,Attack - Centre-Forward,20,right,Leicester,6/30/2026,7/1/2021,12 MANagement,Nike,EPL
254,Ashley Young,Ashley Simon Young,37,1.75,England  Jamaica,Stevenage,1,27,Defender - Right-Back,18,both,Aston Villa,6/30/2023,7/1/2021,CAA Base Ltd,adidas,EPL
262,Emiliano Buendía,Emiliano Buendía Stati,26,1.72,Argentina  Spain,Mar del Plata,28,35,Attack - Right Winger,10,right,Aston Villa,6/30/2026,7/1/2021,Universal Twenty Two,,EPL
268,Louie Moulden,,21,1.9,England,Bolton,0.2,0.2,Goalkeeper,13,right,Wolves,6/30/2024,7/1/2021,Unique Sports Group,Puma,EPL
319,Theo Walcott,Theo James Walcott,34,1.75,England,London,1.8,28,Attack - Right Winger,32,both,Southampton,6/30/2023,7/1/2021,Wasserman,adidas,EPL
453,Crysencio Summerville,Crysencio Jilbert Sylverio Summerville,21,1.74,Netherlands  Suriname,Rotterdam,12,12,Attack - Right Winger,10,right,Leeds,6/30/2026,7/1/2021,Wasserman,,Other
496,Tyrese Francois,Tyrese Jay Francois,22,1.73,Australia  England,Campbell Town,0.5,0.5,midfield - Central Midfield,35,left,Fulham,6/30/2024,7/1/2021,CAA Base Ltd,,EPL
535,Sven Ulreich,,34,1.92,Germany,Schorndorf,0.9,6,Goalkeeper,26,right,Bayern Munich,6/30/2024,7/1/2021,BMS Sportconsulting ...,adidas,Bundesliga
560,Gregor Kobel,,25,1.94,Switzerland,Zürich,35,35,Goalkeeper,1,right,Bor. Dortmund,6/30/2026,7/1/2021,SBE Management AG,,Bundesliga
567,Soumaïla Coulibaly,,19,1.91,France  Mali,Montfermeil,1,1,Defender - Centre-Back,44,left,Bor. Dortmund,6/30/2026,7/1/2021,Epic Sports,Puma,Bundesliga
568,Antonios Papadopoulos,Αντώνης Παπαδόπουλος,23,1.86,Germany  Greece,Stuttgart,0.6,0.6,Defender - Centre-Back,18,right,B. Dortmund II,6/30/2024,7/1/2021,CAA Stellar,,Other
596,Jonas Nickisch,,18,1.9,Germany,Dresden,0.2,0.2,Goalkeeper,1,both,RB Leipzig U19,6/30/2023,7/1/2021,neblung ...,,Other
597,Timo Schlieck,,17,1.95,Germany,Oelde,0.2,0.2,Goalkeeper,1,right,RB Leipzig U17,6/30/2025,7/1/2021,,,Other
599,Josko Gvardiol,Joško Gvardiol,21,1.85,Croatia,Zagreb,75,75,Defender - Centre-Back,32,left,RB Leipzig,6/30/2027,7/1/2021,Marjan Sisic,,Bundesliga
600,Mohamed Simakan,,23,1.87,France  Guinea,Marseille,28,28,Defender - Centre-Back,2,right,RB Leipzig,6/30/2027,7/1/2021,BS Group - BS Law,Puma,Bundesliga
606,Benjamin Henrichs,,26,1.85,Germany  Ghana,Bocholt,15,20,Defender - Right-Back,39,right,RB Leipzig,6/30/2025,7/1/2021,CN Sports,,Bundesliga
615,Caden Clark,Caden Christopher Clark,19,1.8,United States,"Medina, Minnesota",2.8,3.5,midfield - Attacking Midfield,28,right,RB Leipzig,6/30/2025,7/1/2021,YMU Group,,Bundesliga
648,Diant Ramaj,,21,1.89,Germany  Kosovo,Stuttgart,0.75,0.75,Goalkeeper,40,both,E. Frankfurt,6/30/2027,7/1/2021,BMS Sportconsulting ...,,Bundesliga
657,Christopher Lenz,,28,1.8,Germany,Berlin,5,5,Defender - Left-Back,25,left,E. Frankfurt,6/30/2024,7/1/2021,ROOF,,Bundesliga
696,Conor Noß,,22,1.81,Germany  Ireland,Düsseldorf,0.7,0.7,midfield - Attacking Midfield,34,both,Bor. M'gladbach,6/30/2024,7/1/2021,B360 Sports,,Bundesliga
698,Hannes Wolf,Hannes Tarn Wolf,24,1.79,Austria,Graz,4,12,Attack - Left Winger,11,left,Bor. M'gladbach,6/30/2024,7/1/2021,HCM Sports ...,,Bundesliga
706,Philipp Schulze,,20,1.9,Germany,,0.2,0.2,Goalkeeper,35,,VfL Wolfsburg,6/30/2026,7/1/2021,PRO Profil GmbH,adidas,Bundesliga
730,Noah Atubolu,,20,1.9,Germany  Nigeria,Freiburg im Breisgau,2,2,Goalkeeper,21,right,SC Freiburg,,7/1/2021,Unique Sports Group,,Bundesliga
737,Kimberly Ezekwem,Kimberly Chiwetalu Akwaeze Ezekwem,21,1.87,Germany  Nigeria,München,0.35,0.35,Defender - Left-Back,24,left,SC Freiburg,,7/1/2021,CN Sports,,Bundesliga
738,Kiliann Sildillia,Kiliann Eric Sildillia,20,1.86,France  Guadeloupe,Montigny-lès-Metz,12,12,Defender - Right-Back,25,right,SC Freiburg,6/30/2026,7/1/2021,ROGON,,Bundesliga
748,Noah Weißhaupt,Noah Raphael Weißhaupt,21,1.81,Germany,Rostock,2.5,2.5,Attack - Left Winger,33,right,SC Freiburg,,7/1/2021,Unique Sports Group,Puma,Bundesliga
758,Nahuel Noll,Nahuel Nicolas Noll,20,1.88,Germany  Spain,München,0.25,0.25,Goalkeeper,36,both,TSG Hoffenheim,6/30/2025,7/1/2021,VIDA 11,,Bundesliga
769,Angelo Stiller,,22,1.83,Germany,München,6,7,midfield - Defensive Midfield,13,left,TSG Hoffenheim,6/30/2025,7/1/2021,Gol International,,Bundesliga
770,Sebastian Rudy,,33,1.8,Germany,Villingen-Schwenningen,1.5,15,midfield - Defensive Midfield,16,right,TSG Hoffenheim,6/30/2023,7/1/2021,Relatives,Nike,Bundesliga
778,Tom Bischof,,17,1.76,Germany,Aschaffenburg,3.5,3.5,midfield - Attacking Midfield,39,left,TSG Hoffenheim,6/30/2025,7/1/2021,Agent is known - Player under 18,,Bundesliga
791,Paul Jaeckel,,24,1.86,Germany,Eisenhüttenstadt,5.5,7.5,Defender - Centre-Back,3,right,Union Berlin,,7/1/2021,Karl M. Herzog ...,adidas,Bundesliga
793,Timo Baumgartl,,27,1.9,Germany,Böblingen,3.5,15,Defender - Centre-Back,25,right,Union Berlin,6/30/2023,7/1/2021,CN Sports,adidas,Bundesliga
798,Rani Khedira,,29,1.89,Germany  Tunisia,Stuttgart,8,10,midfield - Defensive Midfield,8,right,Union Berlin,,7/1/2021,NGM SPORTS,,Bundesliga
804,Levin Öztunali,Levin Mete Öztunali,27,1.84,Germany,Hamburg,1.5,6.5,midfield - Central Midfield,7,right,Union Berlin,,7/1/2021,CAA Stellar,Nike,Bundesliga
811,Kevin Behrens,,32,1.85,Germany,Bremen,1.5,1.5,Attack - Centre-Forward,17,both,Union Berlin,6/30/2024,7/1/2021,B O K S,,Bundesliga
845,Florian Müller,,25,1.9,Germany,Saarlouis,1.5,10,Goalkeeper,1,left,VfB Stuttgart,6/30/2025,7/1/2021,PRO Profil GmbH,,Bundesliga
862,Ömer Beyaz,Ömer Faruk Beyaz,19,1.71,Turkey,Istanbul,0.7,1,midfield - Attacking Midfield,30,left,VfB Stuttgart,6/30/2025,7/1/2021,M-Soccermanagement,Nike,Bundesliga
876,Lasse Rieß,Lasse Finn Rieß,21,1.91,Germany,Nieder-Olm,0.2,0.2,Goalkeeper,32,right,1.FSV Mainz 05,6/30/2025,7/1/2021,ROOF Talents,,Bundesliga
901,Marvin Schwäbe,,28,1.9,Germany,Dieburg,5,5,Goalkeeper,20,right,1.FC Köln,6/30/2024,7/1/2021,CN Sports,adidas,Bundesliga
905,Timo Hübers,Timo Bernd Hübers,26,1.9,Germany,Hildesheim,7.5,7.5,Defender - Centre-Back,4,right,1.FC Köln,6/30/2024,7/1/2021,Timo Hübers,,Bundesliga
910,Elias Bakatukanda,Elias-Geoffrey Bakatukanda,19,1.93,Germany  DR Congo,Köln,,,Defender - Centre-Back,5,both,1.FC Köln U19,6/30/2026,7/1/2021,FM Worldsport,,Other
915,Dejan Ljubicic,,25,1.87,Austria,Wien,10,10,midfield - Defensive Midfield,7,right,1.FC Köln,6/30/2025,7/1/2021,Dirk Hebel,,Bundesliga
920,Joshua Schwirten,,21,1.82,Germany,Bergisch Gladbach,0.2,0.2,midfield - Central Midfield,10,both,1.FC Köln II,6/30/2023,7/1/2021,CS,,Other
927,Mark Uth,Mark-Alexander Uth,31,1.85,Germany,Köln,3,23,Attack - Centre-Forward,13,left,1.FC Köln,6/30/2025,7/1/2021,Sports360 GmbH,,Bundesliga
950,Suat Serdar,,26,1.84,Germany  Turkey,Bingen,6.5,25,midfield - Central Midfield,8,right,Hertha BSC,6/30/2026,7/1/2021,Sports360 GmbH,,Bundesliga
952,Kevin-Prince Boateng,,36,1.86,Ghana  Germany,Berlin,0.7,23,midfield - Attacking Midfield,27,right,Hertha BSC,6/30/2023,7/1/2021,Excellence Sport,Puma,Bundesliga
965,Mio Backhaus,,19,1.94,Germany,Mönchengladbach,0.3,0.3,Goalkeeper,1,right,W. Bremen U19,,7/1/2021,feel soccer GmbH,,Other
967,Louis Lord,,19,1.9,Germany,Vechta,0.15,0.15,Goalkeeper,1,,W. Bremen II,,7/1/2021,CAA Stellar,,Other
974,Anthony Jung,,31,1.86,Germany  Spain,Villajoyosa,1.5,1.5,Defender - Left-Back,3,left,Werder Bremen,6/30/2024,7/1/2021,CAA Stellar,,Bundesliga
997,Marcin Kaminski,Marcin Kamiński,31,1.92,Poland,Konin,1,3.5,Defender - Centre-Back,35,left,FC Schalke 04,6/30/2023,7/1/2021,Wojciech Zlobicki,,Bundesliga
1004,Mehmet Aydin,Mehmet Can Aydin,21,1.8,Turkey  Germany,Würselen,2,2,Defender - Right-Back,23,right,FC Schalke 04,6/30/2025,7/1/2021,KIN Partners,,Bundesliga
1009,Danny Latza,,33,1.79,Germany,Gelsenkirchen,0.6,5,midfield - Central Midfield,8,right,FC Schalke 04,6/30/2024,7/1/2021,feel soccer GmbH,,Bundesliga
1014,Marius Bülter,,30,1.88,Germany,Ibbenbüren,2.5,3,Attack - Left Winger,11,right,FC Schalke 04,6/30/2024,7/1/2021,TPWE GmbH,adidas,Bundesliga
1019,Simon Terodde,,35,1.92,Germany,Bocholt,1,4,Attack - Centre-Forward,9,right,FC Schalke 04,6/30/2023,7/1/2021,Sports360 GmbH,Puma,Bundesliga
1022,Michael Esser,,35,1.98,Germany,Castrop-Rauxel,0.4,2,Goalkeeper,21,right,VfL Bochum,6/30/2024,7/1/2021,Robert Schneider,,Bundesliga
1037,Patrick Osterhage,,23,1.86,Germany,Göttingen,2,2,midfield - Central Midfield,6,left,VfL Bochum,6/30/2026,7/1/2021,H.S.P. ...,Nike,Bundesliga
1042,Christopher Antwi-Adjei,,29,1.74,Ghana  Germany,Hagen,1.8,2,Attack - Left Winger,22,right,VfL Bochum,6/30/2024,7/1/2021,Kay Sports ...,,Bundesliga
1043,Takuma Asano,浅野 拓磨,28,1.73,Japan,"Komono, Mie",4,4,Attack - Right Winger,11,right,VfL Bochum,6/30/2024,7/1/2021,JEB ENTERTAINMENT ...,adidas,Bundesliga
1071,Matteo Politano,,29,1.71,Italy,Roma,20,30,Attack - Right Winger,21,left,SSC Napoli,6/30/2025,7/1/2021,M.A.R.A.T. Football ...,Nike,Other
1075,Mike Maignan,Mike Peterson Maignan,27,1.91,France  French Guiana,Cayenne,35,35,Goalkeeper,16,right,AC Milan,6/30/2026,7/1/2021,ESN,,SerieA
1079,Fikayo Tomori,Oluwafikayomi Oluwadamilola Tomori,25,1.85,England  Canada,"Calgary, Alberta",45,50,Defender - Centre-Back,23,right,AC Milan,6/30/2027,7/1/2021,SPORT INVEST,adidas,SerieA
1107,Alex Cordaz,,40,1.88,Italy,Vittorio Veneto,0.3,1,Goalkeeper,21,right,Inter,6/30/2023,7/1/2021,QUAN SPORTS ...,,SerieA
1117,Matteo Darmian,,33,1.83,Italy,Legnano,4,15,Defender - Right-Back,36,right,Inter,6/30/2024,7/1/2021,TMP SOCCER srl,,SerieA
1122,Hakan Calhanoglu,Hakan Çalhanoğlu,29,1.78,Turkey  Germany,Mannheim,35,35,midfield - Central Midfield,20,right,Inter,6/30/2024,7/1/2021,Unique Sports Group,Nike,SerieA
1186,Pietro Boer,,21,1.93,Italy,Mestre,0.15,0.15,Goalkeeper,63,right,AS Roma,6/30/2024,7/1/2021,,,SerieA
1187,Roger Ibañez,,24,1.86,Brazil  Italy,Canela,30,30,Defender - Centre-Back,3,right,AS Roma,6/30/2025,7/1/2021,Bertolucci Sports,,SerieA
1190,Marash Kumbulla,,23,1.91,Albania  Italy,Peschiera del Garda,9,27,Defender - Centre-Back,24,right,AS Roma,6/30/2025,7/1/2021,Gianni Vitali,,SerieA
1195,Edoardo Bove,,20,1.81,Italy,Roma,3,3,midfield,52,right,AS Roma,6/30/2025,7/1/2021,BSM,adidas,SerieA
1198,Ebrima Darboe,,21,1.79,The Gambia,Bakoteh,2,2,midfield - Defensive Midfield,55,right,AS Roma,6/30/2026,7/1/2021,Dream and Goal,,SerieA
1202,Nicola Zalewski,,21,1.75,Poland,Tivoli,15,15,midfield - Left Midfield,59,both,AS Roma,6/30/2025,7/1/2021,GP Soccer and ...,Nike,SerieA
1221,Elseid Hysaj,Elseid Gëzim Hysaj,29,1.82,Albania,Shkodër,4,25,Defender - Right-Back,23,right,Lazio,6/30/2025,7/1/2021,M.A.R.A.T. Football ...,adidas,SerieA
1240,Igor,,25,1.85,Brazil,Bom Sucesso,11,14,Defender - Centre-Back,98,left,Fiorentina,6/30/2024,7/1/2021,Attacantti Sports ...,adidas,SerieA
1255,Nicolás González,Nicolás Iván González,25,1.8,Argentina  Italy,Belén de Escobar,28,28,Attack - Left Winger,22,left,Fiorentina,6/30/2026,7/1/2021,Gea World,,SerieA
1272,Jeremy Toljan,Jeremy Isaiah Richard Toljan,28,1.82,Germany  United States,Stuttgart,4.5,6,Defender - Right-Back,22,right,Sassuolo,6/30/2025,7/1/2021,EMG Mundial,,SerieA
1274,Maxime López,Maxime Baila López,25,1.67,France  Algeria,Marseille,15,17,midfield - Defensive Midfield,27,right,Sassuolo,6/30/2025,7/1/2021,Wasserman,,SerieA
1317,Daniele Padelli,,37,1.91,Italy,Lecco,0.3,2,Goalkeeper,20,right,Udinese Calcio,6/30/2023,7/1/2021,Assist,adidas,SerieA
1349,Adama Soumaoro,,30,1.86,France  Mali,Fontenay-aux-Roses,3.5,10,Defender - Centre-Back,5,right,Bologna,6/30/2024,7/1/2021,ESN,,SerieA
1366,Musa Barrow,,24,1.84,The Gambia,Banjul,12,20,Attack - Left Winger,99,right,Bologna,6/30/2025,7/1/2021,Sportlex Srl,,SerieA
1420,Nicolas Haas,Nicolas Thibault Haas,27,1.78,Switzerland,Sursee,2.5,3.5,midfield - Central Midfield,32,right,FC Empoli,6/30/2025,7/1/2021,IFM,adidas,Other
1424,Tommaso Baldanzi,,20,1.7,Italy,Poggibonsi,10,10,midfield - Attacking Midfield,35,left,FC Empoli,6/30/2027,7/1/2021,P&P Sport ...,Nike,Other
1468,Alessandro Tuia,,32,1.84,Italy,Civita Castellana,0.7,0.9,Defender - Centre-Back,13,right,Lecce,6/30/2023,7/1/2021,Gea World,,Other
1477,Alexis Blin,,26,1.84,France,Le Mans,2,8,midfield - Defensive Midfield,29,right,Lecce,6/30/2025,7/1/2021,Kemari,,Other
1515,Daniele Verde,,26,1.68,Italy,Napoli,4,5,Attack - Right Winger,10,left,Spezia Calcio,6/30/2025,7/1/2021,Luigi Lauro SBM srl,,Other
1524,Federico Ceccherini,,31,1.87,Italy,Livorno,3,4,Defender - Centre-Back,17,right,Hellas Verona,6/30/2024,7/1/2021,P&P Sport ...,,SerieA
1525,Giangiacomo Magnani,,27,1.91,Italy,Correggio,3,5,Defender - Centre-Back,23,right,Hellas Verona,6/30/2025,7/1/2021,TMP SOCCER srl,,SerieA
1544,Kevin Lasagna,,30,1.81,Italy,Suzzara,2,8,Attack - Centre-Forward,11,left,Hellas Verona,6/30/2025,7/1/2021,P&P Sport ...,,SerieA
